shift_start,date,weekday,shift,name,idle_time,active_time,num_orders_shipped,stationed_at,overtime,utilization
0,10/22/2020,Thursday,morning,0morning2,25000,3800,69,2,0,0.13194444444444445
0,10/22/2020,Thursday,morning,0morning1,24930,3870,74,1,0,0.134375
28800,10/22/2020,Thursday,afternoon,28800afternoon1,14593,14210,260,1,3,0.49340415191279596
28800,10/22/2020,Thursday,afternoon,28800afternoon2,12489,16360,293,2,49,0.5678247629593743
57600,10/22/2020,Thursday,evening,57600evening1,9650,19150,342,1,0,0.6649305555555556
57600,10/22/2020,Thursday,evening,57600evening2,9950,18890,341,2,40,0.6554709141274239
86400,10/23/2020,Friday,morning,86400morning2,10370,18430,329,2,0,0.6399305555555556
86400,10/23/2020,Friday,morning,86400morning1,9583,19260,342,1,43,0.6682475939901682
115200,10/23/2020,Friday,afternoon,115200afternoon1,1069,27750,499,2,19,0.9629308551217144
115200,10/23/2020,Friday,afternoon,115200afternoon2,635,28190,503,1,25,0.9779896013864818
144000,10/23/2020,Friday,evening,144000evening1,20,28800,517,2,20,0.9993065187239945
144000,10/23/2020,Friday,evening,144000evening2,26,28800,531,1,26,0.9990988492998752
172800,10/24/2020,Saturday,morning,172800morning1,21,28810,535,2,31,0.9992723996951008
201600,10/24/2020,Saturday,afternoon,201600afternoon1,0,28820,521,1,20,1.0
230400,10/24/2020,Saturday,evening,230400evening1,0,28800,519,2,0,1.0
259200,10/25/2020,Sunday,morning,259200morning2,1,28820,526,2,21,0.9999653283406144
259200,10/25/2020,Sunday,morning,259200morning1,0,28830,524,1,30,1.0
288000,10/25/2020,Sunday,afternoon,288000afternoon1,22,28820,517,2,42,0.9992383326409084
288000,10/25/2020,Sunday,afternoon,288000afternoon2,31,28860,523,1,91,0.9989303705748396
316800,10/25/2020,Sunday,evening,316800evening1,43,28770,514,2,13,0.9985082911260668
316800,10/25/2020,Sunday,evening,316800evening2,92,28730,527,1,22,0.9968104285119955
345600,10/26/2020,Monday,morning,345600morning1,14,28800,520,2,14,0.9995143610378798
374400,10/26/2020,Monday,afternoon,374400afternoon1,0,28810,516,1,10,1.0
403200,10/26/2020,Monday,evening,403200evening1,0,28840,524,2,40,1.0
432000,10/27/2020,Tuesday,morning,432000morning2,41,28780,519,2,21,0.9985784619651896
432000,10/27/2020,Tuesday,morning,432000morning1,0,28830,521,1,30,1.0
460800,10/27/2020,Tuesday,afternoon,460800afternoon1,22,28780,520,2,2,0.9992362171920567
460800,10/27/2020,Tuesday,afternoon,460800afternoon2,31,28800,524,1,31,0.9989259233594345
489600,10/27/2020,Tuesday,evening,489600evening2,32,28810,521,1,42,0.9988921202049578
489600,10/27/2020,Tuesday,evening,489600evening1,3,28860,521,2,63,0.9998962870773699
518400,10/28/2020,Wednesday,morning,518400morning2,64,28740,510,2,4,0.9977783948903083
518400,10/28/2020,Wednesday,morning,518400morning1,43,28770,511,1,13,0.9985082911260668
547200,10/28/2020,Wednesday,afternoon,547200afternoon1,5,28800,526,2,5,0.9998264491496008
547200,10/28/2020,Wednesday,afternoon,547200afternoon2,14,28820,517,1,34,0.9995150339476236
576000,10/28/2020,Wednesday,evening,576000evening1,6,28830,519,2,36,0.9997921862011637
576000,10/28/2020,Wednesday,evening,576000evening2,35,28820,529,1,55,0.9987893462469734
604800,10/29/2020,Thursday,morning,604800morning2,56,28770,523,1,26,0.9980590600305005
604800,10/29/2020,Thursday,morning,604800morning1,37,28800,519,2,37,0.9987185703400984
633600,10/29/2020,Thursday,afternoon,633600afternoon2,38,28790,514,2,28,0.9986831161630163
633600,10/29/2020,Thursday,afternoon,633600afternoon1,27,28810,527,1,37,0.9990649026806123
662400,10/29/2020,Thursday,evening,662400evening1,29,28790,529,2,19,0.9989943824120951
662400,10/29/2020,Thursday,evening,662400evening2,38,28820,512,1,58,0.9986858486650989
691200,10/30/2020,Friday,morning,691200morning2,9590,19210,349,1,0,0.6670138888888889
691200,10/30/2020,Friday,morning,691200morning1,9060,19740,359,2,0,0.6854166666666667
720000,10/30/2020,Friday,afternoon,720000afternoon2,100,28710,517,2,10,0.9965301873698821
720000,10/30/2020,Friday,afternoon,720000afternoon1,70,28760,522,1,30,0.9975744975744976
748800,10/30/2020,Friday,evening,748800evening2,31,28780,535,1,11,0.9989244327250018
748800,10/30/2020,Friday,evening,748800evening1,11,28810,517,2,21,0.9996186117467581
777600,10/31/2020,Saturday,morning,777600morning1,12,28830,515,1,42,0.9995845450768591
806400,10/31/2020,Saturday,afternoon,806400afternoon1,0,28820,530,2,20,1.0
835200,10/31/2020,Saturday,evening,835200evening1,0,28840,520,1,40,1.0
864000,11/01/2020,Sunday,morning,864000morning2,41,28760,527,1,1,0.9985764877439067
864000,11/01/2020,Sunday,morning,864000morning1,0,28840,524,2,40,1.0
892800,11/01/2020,Sunday,afternoon,892800afternoon1,2,28810,513,1,12,0.9999306133777408
892800,11/01/2020,Sunday,afternoon,892800afternoon2,41,28790,526,2,31,0.9985794470237683
921600,11/01/2020,Sunday,evening,921600evening2,32,28790,524,2,22,0.9988905838302593
921600,11/01/2020,Sunday,evening,921600evening1,13,28840,513,1,53,0.9995502663806822
950400,11/02/2020,Monday,morning,950400morning1,23,28820,519,2,43,0.9992037665304992
979200,11/02/2020,Monday,afternoon,979200afternoon1,0,28810,513,1,10,1.0
1008000,11/02/2020,Monday,evening,1008000evening1,0,28800,525,2,0,1.0
1036800,11/03/2020,Tuesday,morning,1036800morning1,0,28800,516,1,0,1.0
1036800,11/03/2020,Tuesday,morning,1036800morning2,1,28820,527,2,21,0.9999653283406144
1065600,11/03/2020,Tuesday,afternoon,1065600afternoon1,1,28820,521,1,21,0.9999653283406144
1065600,11/03/2020,Tuesday,afternoon,1065600afternoon2,22,28820,525,2,42,0.9992383326409084
1094400,11/03/2020,Tuesday,evening,1094400evening2,43,28760,528,2,3,0.998507255432896
1094400,11/03/2020,Tuesday,evening,1094400evening1,22,28800,526,1,22,0.9992372763833033
1123200,11/04/2020,Wednesday,morning,1123200morning2,23,28780,524,1,3,0.999201555231549
1123200,11/04/2020,Wednesday,morning,1123200morning1,4,28870,512,2,74,0.9998618211966285
1152000,11/04/2020,Wednesday,afternoon,1152000afternoon1,4,28810,531,1,14,0.9998612460108228
1152000,11/04/2020,Wednesday,afternoon,1152000afternoon2,75,28760,527,2,35,0.9974021475580187
1180800,11/04/2020,Wednesday,evening,1180800evening1,15,28790,513,1,5,0.9994793474488025
1180800,11/04/2020,Wednesday,evening,1180800evening2,36,28830,519,2,66,0.9987557030277893
1209600,11/05/2020,Thursday,morning,1209600morning1,6,28840,527,1,46,0.9997923300567632
1209600,11/05/2020,Thursday,morning,1209600morning2,67,28780,533,2,47,0.9976811794836298
1238400,11/05/2020,Thursday,afternoon,1238400afternoon1,47,28770,515,1,17,0.9983699798848582
1238400,11/05/2020,Thursday,afternoon,1238400afternoon2,48,28780,524,2,28,0.9983365677848628
1267200,11/05/2020,Thursday,evening,1267200evening1,18,28800,521,1,18,0.9993757802746567
1267200,11/05/2020,Thursday,evening,1267200evening2,29,28800,531,2,29,0.9989950793540786
1296000,11/06/2020,Friday,morning,1296000morning2,10750,18050,337,2,0,0.6267361111111112
1296000,11/06/2020,Friday,morning,1296000morning1,8920,19900,370,1,20,0.6907073509015257
1324800,11/06/2020,Friday,afternoon,1324800afternoon2,120,28680,522,1,0,0.9958333333333333
1324800,11/06/2020,Friday,afternoon,1324800afternoon1,110,28700,521,2,10,0.9961832061068703
1353600,11/06/2020,Friday,evening,1353600evening1,1,28800,521,1,1,0.9999652801888758
1353600,11/06/2020,Friday,evening,1353600evening2,11,28800,524,2,11,0.9996183470959683
1382400,11/07/2020,Saturday,morning,1382400morning1,2,28850,523,1,52,0.9999308054248547
1411200,11/07/2020,Saturday,afternoon,1411200afternoon1,0,28840,530,2,40,1.0
1440000,11/07/2020,Saturday,evening,1440000evening1,0,28820,532,1,20,1.0
1468800,11/08/2020,Sunday,morning,1468800morning1,0,28810,520,2,10,1.0
1468800,11/08/2020,Sunday,morning,1468800morning2,21,28810,526,1,31,0.9992723996951008
1497600,11/08/2020,Sunday,afternoon,1497600afternoon1,11,28790,519,2,1,0.9996180820776335
1497600,11/08/2020,Sunday,afternoon,1497600afternoon2,32,28820,511,1,52,0.9988928867976751
1526400,11/08/2020,Sunday,evening,1526400evening2,53,28770,516,1,23,0.9981626568675033
1526400,11/08/2020,Sunday,evening,1526400evening1,2,28830,531,2,32,0.999930709534368
1555200,11/09/2020,Monday,morning,1555200morning1,24,28800,521,1,24,0.9991680532445923
1584000,11/09/2020,Monday,afternoon,1584000afternoon1,0,28830,516,2,30,1.0
1612800,11/09/2020,Monday,evening,1612800evening1,0,28830,527,1,30,1.0
1641600,11/10/2020,Tuesday,morning,1641600morning1,0,28810,521,2,10,1.0
1641600,11/10/2020,Tuesday,morning,1641600morning2,31,28820,524,1,51,0.9989274098678292
1670400,11/10/2020,Tuesday,afternoon,1670400afternoon1,11,28800,522,2,11,0.9996183470959683
1670400,11/10/2020,Tuesday,afternoon,1670400afternoon2,52,28760,519,1,12,0.9981959478212601
1699200,11/10/2020,Tuesday,evening,1699200evening1,12,28800,522,2,12,0.9995836802664446
1699200,11/10/2020,Tuesday,evening,1699200evening2,13,28830,527,1,43,0.9995499549954996
1728000,11/11/2020,Wednesday,morning,1728000morning2,44,28770,510,1,14,0.998473706119051
1728000,11/11/2020,Wednesday,morning,1728000morning1,13,28810,510,2,23,0.999549330929765
1756800,11/11/2020,Wednesday,afternoon,1756800afternoon2,24,28810,519,2,34,0.9991686296244977
1756800,11/11/2020,Wednesday,afternoon,1756800afternoon1,15,28820,528,1,35,0.9994804295116038
