shift_start,date,weekday,shift,name,idle_time,active_time,discarded_time,num_orders_fulfilled,num_orders_discarded,overtime,utilization
0,10/22/2020,Thursday,morning,0morning1,5741,23200,0,79,0,141,0.8025926690048828
0,10/22/2020,Thursday,morning,0morning2,7751,21270,0,72,0,221,0.7349360508857123
28800,10/22/2020,Thursday,afternoon,28800afternoon1,2415,26410,0,89,0,25,0.9162911611785095
28800,10/22/2020,Thursday,afternoon,28800afternoon7,4198,24670,0,83,0,68,0.8549212054188554
28800,10/22/2020,Thursday,afternoon,28800afternoon2,1658,27280,0,92,0,138,0.9429770257256844
28800,10/22/2020,Thursday,afternoon,28800afternoon5,2918,26040,0,89,0,158,0.8997801895864816
28800,10/22/2020,Thursday,afternoon,28800afternoon6,2963,26010,0,88,0,173,0.8983393947711521
28800,10/22/2020,Thursday,afternoon,28800afternoon3,3136,25920,0,88,0,256,0.8930131004366813
28800,10/22/2020,Thursday,afternoon,28800afternoon4,1815,27270,0,92,0,285,0.9382022471910112
57600,10/22/2020,Thursday,evening,57600evening4,256,28580,0,97,0,36,0.9911332779163203
57600,10/22/2020,Thursday,evening,57600evening3,50,28900,0,98,0,150,0.9982817869415808
57600,10/22/2020,Thursday,evening,57600evening2,163,28800,0,97,0,163,0.9944036256265879
57600,10/22/2020,Thursday,evening,57600evening7,238,28760,0,97,0,198,0.9918481983833402
57600,10/22/2020,Thursday,evening,57600evening1,7,29020,0,99,0,227,0.999760716483216
57600,10/22/2020,Thursday,evening,57600evening8,209,28870,0,98,0,279,0.9928809864432182
57600,10/22/2020,Thursday,evening,57600evening5,21,29060,0,98,0,281,0.9992847898644507
57600,10/22/2020,Thursday,evening,57600evening6,64,29050,0,98,0,314,0.9978252004893299
86400,10/23/2020,Friday,morning,86400morning5,7454,21370,0,73,0,24,0.7416112035496395
86400,10/23/2020,Friday,morning,86400morning1,7519,21320,0,72,0,39,0.7396287831567283
86400,10/23/2020,Friday,morning,86400morning4,5963,22890,0,77,0,53,0.7937106483083097
86400,10/23/2020,Friday,morning,86400morning3,7625,21270,0,72,0,95,0.7369782683684029
86400,10/23/2020,Friday,morning,86400morning2,6868,22040,0,75,0,108,0.7633030052384892
86400,10/23/2020,Friday,morning,86400morning6,10611,18300,0,62,0,111,0.6343808145544759
115200,10/23/2020,Friday,afternoon,115200afternoon13,2048,26790,0,91,0,38,0.9290760493143094
115200,10/23/2020,Friday,afternoon,115200afternoon5,1878,26960,0,92,0,38,0.9349632913145866
115200,10/23/2020,Friday,afternoon,115200afternoon15,3514,25340,0,86,0,54,0.8784419537844196
115200,10/23/2020,Friday,afternoon,115200afternoon11,2188,26710,0,91,0,98,0.9245413160435922
115200,10/23/2020,Friday,afternoon,115200afternoon10,2315,26590,0,90,0,105,0.9201999310582558
115200,10/23/2020,Friday,afternoon,115200afternoon6,3388,25530,0,87,0,118,0.8833172613307618
115200,10/23/2020,Friday,afternoon,115200afternoon1,3041,25890,0,88,0,131,0.8953616406303765
115200,10/23/2020,Friday,afternoon,115200afternoon2,2601,26330,0,89,0,131,0.9105016860505127
115200,10/23/2020,Friday,afternoon,115200afternoon16,5250,23720,0,81,0,170,0.8198352779684283
115200,10/23/2020,Friday,afternoon,115200afternoon12,2510,26460,0,90,0,170,0.9138641043239534
115200,10/23/2020,Friday,afternoon,115200afternoon9,2931,26050,0,88,0,181,0.8994924902270077
115200,10/23/2020,Friday,afternoon,115200afternoon14,1939,27060,0,91,0,199,0.933591341872731
115200,10/23/2020,Friday,afternoon,115200afternoon4,2810,26230,0,89,0,240,0.9040300546448088
115200,10/23/2020,Friday,afternoon,115200afternoon8,1244,27800,0,94,0,244,0.9575252663206774
115200,10/23/2020,Friday,afternoon,115200afternoon7,3856,25190,0,85,0,246,0.8683599617643043
115200,10/23/2020,Friday,afternoon,115200afternoon3,3609,25450,0,87,0,259,0.8769015621802305
144000,10/23/2020,Friday,evening,144000evening16,0,28800,0,98,0,0,1.0
144000,10/23/2020,Friday,evening,144000evening11,0,28820,0,97,0,20,1.0
144000,10/23/2020,Friday,evening,144000evening7,0,28840,0,98,0,40,1.0
144000,10/23/2020,Friday,evening,144000evening6,0,28870,0,97,0,70,1.0
144000,10/23/2020,Friday,evening,144000evening9,0,28880,0,97,0,80,1.0
144000,10/23/2020,Friday,evening,144000evening10,0,28930,0,98,0,130,1.0
144000,10/23/2020,Friday,evening,144000evening12,0,28940,0,98,0,140,1.0
144000,10/23/2020,Friday,evening,144000evening2,0,28950,0,98,0,150,1.0
144000,10/23/2020,Friday,evening,144000evening14,0,28960,0,98,0,160,1.0
144000,10/23/2020,Friday,evening,144000evening3,0,28970,0,98,0,170,1.0
144000,10/23/2020,Friday,evening,144000evening18,0,29000,0,98,0,200,1.0
144000,10/23/2020,Friday,evening,144000evening5,0,29010,0,98,0,210,1.0
144000,10/23/2020,Friday,evening,144000evening17,0,29020,0,99,0,220,1.0
144000,10/23/2020,Friday,evening,144000evening4,0,29030,0,98,0,230,1.0
144000,10/23/2020,Friday,evening,144000evening8,0,29030,0,99,0,230,1.0
144000,10/23/2020,Friday,evening,144000evening13,0,29050,0,98,0,250,1.0
144000,10/23/2020,Friday,evening,144000evening15,0,29060,0,98,0,260,1.0
144000,10/23/2020,Friday,evening,144000evening1,0,29080,0,99,0,280,1.0
172800,10/24/2020,Saturday,morning,172800morning2,0,28800,0,97,0,0,1.0
172800,10/24/2020,Saturday,morning,172800morning3,0,28960,0,99,0,160,1.0
172800,10/24/2020,Saturday,morning,172800morning4,0,29060,0,99,0,260,1.0
172800,10/24/2020,Saturday,morning,172800morning1,0,29100,0,99,0,300,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon8,0,28830,0,98,0,30,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon2,0,28860,0,98,0,60,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon4,0,28870,0,98,0,70,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon6,0,28870,0,97,0,70,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon3,0,28890,0,98,0,90,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon14,0,28910,0,98,0,110,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon10,0,28940,0,98,0,140,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon7,0,28960,0,98,0,160,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon13,0,28980,0,98,0,180,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon12,0,28980,0,98,0,180,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon1,0,28990,0,99,0,190,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon11,0,29020,0,99,0,220,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon9,0,29030,0,98,0,230,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon17,0,29070,0,99,0,270,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon15,0,29080,0,98,0,280,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon16,0,29090,0,99,0,290,1.0
201600,10/24/2020,Saturday,afternoon,201600afternoon5,0,29090,0,99,0,290,1.0
230400,10/24/2020,Saturday,evening,230400evening5,0,28800,0,98,0,0,1.0
230400,10/24/2020,Saturday,evening,230400evening2,0,28800,0,98,0,0,1.0
230400,10/24/2020,Saturday,evening,230400evening7,0,28840,0,98,0,40,1.0
230400,10/24/2020,Saturday,evening,230400evening15,0,28880,0,97,0,80,1.0
230400,10/24/2020,Saturday,evening,230400evening3,0,28910,0,97,0,110,1.0
230400,10/24/2020,Saturday,evening,230400evening12,0,28910,0,98,0,110,1.0
230400,10/24/2020,Saturday,evening,230400evening16,0,28920,0,98,0,120,1.0
230400,10/24/2020,Saturday,evening,230400evening9,0,28930,0,98,0,130,1.0
230400,10/24/2020,Saturday,evening,230400evening4,0,28940,0,98,0,140,1.0
230400,10/24/2020,Saturday,evening,230400evening10,0,28940,0,98,0,140,1.0
230400,10/24/2020,Saturday,evening,230400evening17,0,28970,0,98,0,170,1.0
230400,10/24/2020,Saturday,evening,230400evening13,0,28980,0,98,0,180,1.0
230400,10/24/2020,Saturday,evening,230400evening1,0,28990,0,98,0,190,1.0
230400,10/24/2020,Saturday,evening,230400evening8,0,29000,0,98,0,200,1.0
230400,10/24/2020,Saturday,evening,230400evening19,0,29000,0,98,0,200,1.0
230400,10/24/2020,Saturday,evening,230400evening14,0,29020,0,98,0,220,1.0
230400,10/24/2020,Saturday,evening,230400evening11,0,29050,0,99,0,250,1.0
230400,10/24/2020,Saturday,evening,230400evening18,0,29070,0,99,0,270,1.0
230400,10/24/2020,Saturday,evening,230400evening6,0,29070,0,99,0,270,1.0
259200,10/25/2020,Sunday,morning,259200morning5,760,28040,0,95,0,0,0.9736111111111111
259200,10/25/2020,Sunday,morning,259200morning7,530,28270,0,96,0,0,0.9815972222222222
259200,10/25/2020,Sunday,morning,259200morning3,470,28330,0,96,0,0,0.9836805555555556
259200,10/25/2020,Sunday,morning,259200morning6,440,28360,0,96,0,0,0.9847222222222223
259200,10/25/2020,Sunday,morning,259200morning2,404,28540,0,97,0,144,0.9861111111111112
259200,10/25/2020,Sunday,morning,259200morning1,999,27970,0,95,0,169,0.9657148740476353
259200,10/25/2020,Sunday,morning,259200morning4,1198,27860,0,94,0,258,0.9591349433756311
288000,10/25/2020,Sunday,afternoon,288000afternoon8,1270,27530,0,94,0,0,0.9559027777777778
288000,10/25/2020,Sunday,afternoon,288000afternoon3,1168,27690,0,93,0,58,0.9596071379167243
288000,10/25/2020,Sunday,afternoon,288000afternoon11,3613,25270,0,85,0,83,0.8752675550645584
288000,10/25/2020,Sunday,afternoon,288000afternoon5,1448,27450,0,93,0,98,0.9500620775279349
288000,10/25/2020,Sunday,afternoon,288000afternoon2,1938,26990,0,92,0,128,0.9333012114537445
288000,10/25/2020,Sunday,afternoon,288000afternoon1,966,28000,0,95,0,166,0.9668405876699162
288000,10/25/2020,Sunday,afternoon,288000afternoon12,3725,25270,0,86,0,195,0.8723878040424803
288000,10/25/2020,Sunday,afternoon,288000afternoon10,3193,25830,0,88,0,223,0.8908226766053478
288000,10/25/2020,Sunday,afternoon,288000afternoon6,1821,27210,0,92,0,231,0.9377691203608776
288000,10/25/2020,Sunday,afternoon,288000afternoon13,4455,24580,0,83,0,235,0.8477963785445849
288000,10/25/2020,Sunday,afternoon,288000afternoon7,1813,27270,0,92,0,283,0.9382619355717496
288000,10/25/2020,Sunday,afternoon,288000afternoon9,2715,26370,0,90,0,285,0.90755873340143
288000,10/25/2020,Sunday,afternoon,288000afternoon4,2667,26420,0,89,0,287,0.9092054197589705
316800,10/25/2020,Sunday,evening,316800evening11,0,28850,0,97,0,50,1.0
316800,10/25/2020,Sunday,evening,316800evening8,0,28850,0,98,0,50,1.0
316800,10/25/2020,Sunday,evening,316800evening4,0,28870,0,98,0,70,1.0
316800,10/25/2020,Sunday,evening,316800evening9,0,28870,0,98,0,70,1.0
316800,10/25/2020,Sunday,evening,316800evening16,0,28880,0,98,0,80,1.0
316800,10/25/2020,Sunday,evening,316800evening3,0,28880,0,98,0,80,1.0
316800,10/25/2020,Sunday,evening,316800evening7,0,28890,0,98,0,90,1.0
316800,10/25/2020,Sunday,evening,316800evening6,0,28890,0,98,0,90,1.0
316800,10/25/2020,Sunday,evening,316800evening12,0,28890,0,98,0,90,1.0
316800,10/25/2020,Sunday,evening,316800evening14,0,28900,0,98,0,100,1.0
316800,10/25/2020,Sunday,evening,316800evening1,0,28950,0,98,0,150,1.0
316800,10/25/2020,Sunday,evening,316800evening2,0,28950,0,98,0,150,1.0
316800,10/25/2020,Sunday,evening,316800evening10,0,28960,0,98,0,160,1.0
316800,10/25/2020,Sunday,evening,316800evening13,0,29000,0,99,0,200,1.0
316800,10/25/2020,Sunday,evening,316800evening15,0,29010,0,99,0,210,1.0
316800,10/25/2020,Sunday,evening,316800evening5,0,29080,0,98,0,280,1.0
345600,10/26/2020,Monday,morning,345600morning3,9832,19010,0,64,0,42,0.6596039329732724
345600,10/26/2020,Monday,morning,345600morning4,10321,18620,0,63,0,141,0.6451069390000688
345600,10/26/2020,Monday,morning,345600morning2,12816,16190,0,55,0,206,0.5612761878679995
345600,10/26/2020,Monday,morning,345600morning1,9299,19720,0,67,0,219,0.6819549900814009
345600,10/26/2020,Monday,morning,345600morning5,12355,16720,0,57,0,275,0.579045996592845
374400,10/26/2020,Monday,afternoon,374400afternoon2,3169,25650,0,87,0,19,0.8901102711699841
374400,10/26/2020,Monday,afternoon,374400afternoon6,2444,26490,0,90,0,134,0.9159212880143113
374400,10/26/2020,Monday,afternoon,374400afternoon1,1861,27110,0,92,0,171,0.9361402786356462
374400,10/26/2020,Monday,afternoon,374400afternoon5,1666,27340,0,93,0,206,0.942968643023415
374400,10/26/2020,Monday,afternoon,374400afternoon4,1221,27790,0,94,0,211,0.9582164122921086
374400,10/26/2020,Monday,afternoon,374400afternoon3,2713,26300,0,89,0,213,0.9071716964346814
403200,10/26/2020,Monday,evening,403200evening4,0,28810,0,98,0,10,1.0
403200,10/26/2020,Monday,evening,403200evening1,0,28920,0,98,0,120,1.0
403200,10/26/2020,Monday,evening,403200evening5,0,28930,0,97,0,130,1.0
403200,10/26/2020,Monday,evening,403200evening6,0,28940,0,98,0,140,1.0
403200,10/26/2020,Monday,evening,403200evening8,0,29000,0,99,0,200,1.0
403200,10/26/2020,Monday,evening,403200evening7,0,29030,0,98,0,230,1.0
403200,10/26/2020,Monday,evening,403200evening9,0,29070,0,99,0,270,1.0
403200,10/26/2020,Monday,evening,403200evening3,0,29080,0,99,0,280,1.0
403200,10/26/2020,Monday,evening,403200evening2,0,29080,0,99,0,280,1.0
432000,10/27/2020,Tuesday,morning,432000morning2,0,28810,0,98,0,10,1.0
432000,10/27/2020,Tuesday,morning,432000morning1,0,28820,0,98,0,20,1.0
460800,10/27/2020,Tuesday,afternoon,460800afternoon4,0,28810,0,97,0,10,1.0
460800,10/27/2020,Tuesday,afternoon,460800afternoon5,0,28850,0,98,0,50,1.0
460800,10/27/2020,Tuesday,afternoon,460800afternoon1,0,29010,0,98,0,210,1.0
460800,10/27/2020,Tuesday,afternoon,460800afternoon3,0,29020,0,98,0,220,1.0
460800,10/27/2020,Tuesday,afternoon,460800afternoon2,0,29070,0,99,0,270,1.0
489600,10/27/2020,Tuesday,evening,489600evening2,0,28810,0,98,0,10,1.0
489600,10/27/2020,Tuesday,evening,489600evening6,0,28840,0,97,0,40,1.0
489600,10/27/2020,Tuesday,evening,489600evening4,0,28860,0,98,0,60,1.0
489600,10/27/2020,Tuesday,evening,489600evening5,0,28890,0,98,0,90,1.0
489600,10/27/2020,Tuesday,evening,489600evening3,0,28910,0,98,0,110,1.0
489600,10/27/2020,Tuesday,evening,489600evening1,0,29070,0,99,0,270,1.0
518400,10/28/2020,Wednesday,morning,518400morning4,4290,24530,0,83,0,20,0.8512482662968099
518400,10/28/2020,Wednesday,morning,518400morning2,3584,25390,0,85,0,174,0.8770413064361191
518400,10/28/2020,Wednesday,morning,518400morning1,3759,25310,0,86,0,269,0.87187265662281
518400,10/28/2020,Wednesday,morning,518400morning3,3650,25430,0,86,0,280,0.8756811989100818
547200,10/28/2020,Wednesday,afternoon,547200afternoon11,2298,26510,0,90,0,8,0.9202526374236535
547200,10/28/2020,Wednesday,afternoon,547200afternoon10,1740,27070,0,92,0,10,0.9396252602359473
547200,10/28/2020,Wednesday,afternoon,547200afternoon2,3042,25770,0,88,0,12,0.8944629475437136
547200,10/28/2020,Wednesday,afternoon,547200afternoon9,2752,26110,0,89,0,62,0.9048541004010511
547200,10/28/2020,Wednesday,afternoon,547200afternoon8,1822,27050,0,92,0,72,0.9370508568269762
547200,10/28/2020,Wednesday,afternoon,547200afternoon5,2059,26840,0,91,0,99,0.9289951031105593
547200,10/28/2020,Wednesday,afternoon,547200afternoon4,1646,27310,0,93,0,156,0.9434597416872768
547200,10/28/2020,Wednesday,afternoon,547200afternoon6,904,28060,0,95,0,164,0.9689645701730294
547200,10/28/2020,Wednesday,afternoon,547200afternoon7,1212,27760,0,94,0,172,0.9584133955531156
547200,10/28/2020,Wednesday,afternoon,547200afternoon3,1119,27940,0,95,0,259,0.9618323214407531
547200,10/28/2020,Wednesday,afternoon,547200afternoon1,2789,26280,0,90,0,269,0.9049355784307042
576000,10/28/2020,Wednesday,evening,576000evening11,0,28830,0,98,0,30,1.0
576000,10/28/2020,Wednesday,evening,576000evening10,0,28840,0,98,0,40,1.0
576000,10/28/2020,Wednesday,evening,576000evening6,0,28860,0,97,0,60,1.0
576000,10/28/2020,Wednesday,evening,576000evening1,0,28890,0,98,0,90,1.0
576000,10/28/2020,Wednesday,evening,576000evening12,0,28910,0,98,0,110,1.0
576000,10/28/2020,Wednesday,evening,576000evening14,0,28940,0,98,0,140,1.0
576000,10/28/2020,Wednesday,evening,576000evening2,0,28980,0,98,0,180,1.0
576000,10/28/2020,Wednesday,evening,576000evening4,0,28980,0,98,0,180,1.0
576000,10/28/2020,Wednesday,evening,576000evening5,0,28990,0,98,0,190,1.0
576000,10/28/2020,Wednesday,evening,576000evening9,0,29010,0,98,0,210,1.0
576000,10/28/2020,Wednesday,evening,576000evening8,0,29020,0,98,0,220,1.0
576000,10/28/2020,Wednesday,evening,576000evening3,0,29020,0,99,0,220,1.0
576000,10/28/2020,Wednesday,evening,576000evening13,0,29060,0,99,0,260,1.0
576000,10/28/2020,Wednesday,evening,576000evening7,0,29080,0,99,0,280,1.0
604800,10/29/2020,Thursday,morning,604800morning1,0,28840,0,98,0,40,1.0
604800,10/29/2020,Thursday,morning,604800morning2,0,28890,0,98,0,90,1.0
633600,10/29/2020,Thursday,afternoon,633600afternoon1,0,28890,0,98,0,90,1.0
633600,10/29/2020,Thursday,afternoon,633600afternoon2,0,28900,0,98,0,100,1.0
633600,10/29/2020,Thursday,afternoon,633600afternoon6,0,28900,0,98,0,100,1.0
633600,10/29/2020,Thursday,afternoon,633600afternoon3,0,28920,0,98,0,120,1.0
633600,10/29/2020,Thursday,afternoon,633600afternoon7,0,28950,0,98,0,150,1.0
633600,10/29/2020,Thursday,afternoon,633600afternoon5,0,28990,0,98,0,190,1.0
633600,10/29/2020,Thursday,afternoon,633600afternoon4,0,29040,0,99,0,240,1.0
662400,10/29/2020,Thursday,evening,662400evening3,0,28800,0,97,0,0,1.0
662400,10/29/2020,Thursday,evening,662400evening6,0,28800,0,97,0,0,1.0
662400,10/29/2020,Thursday,evening,662400evening8,0,28810,0,98,0,10,1.0
662400,10/29/2020,Thursday,evening,662400evening1,0,28880,0,98,0,80,1.0
662400,10/29/2020,Thursday,evening,662400evening4,0,28920,0,98,0,120,1.0
662400,10/29/2020,Thursday,evening,662400evening7,0,28940,0,98,0,140,1.0
662400,10/29/2020,Thursday,evening,662400evening5,0,28970,0,98,0,170,1.0
662400,10/29/2020,Thursday,evening,662400evening2,0,29040,0,98,0,240,1.0
691200,10/30/2020,Friday,morning,691200morning5,2873,25990,0,89,0,63,0.9006775910945171
691200,10/30/2020,Friday,morning,691200morning2,3800,25070,0,85,0,70,0.8686938493434693
691200,10/30/2020,Friday,morning,691200morning6,1990,26930,0,91,0,120,0.9314738292011019
691200,10/30/2020,Friday,morning,691200morning1,4011,24980,0,85,0,191,0.8625522582413817
691200,10/30/2020,Friday,morning,691200morning4,2294,26720,0,91,0,214,0.9215136170795128
691200,10/30/2020,Friday,morning,691200morning3,4705,24400,0,82,0,305,0.8400204012240734
720000,10/30/2020,Friday,afternoon,720000afternoon3,2015,26820,0,91,0,35,0.9302043643921025
720000,10/30/2020,Friday,afternoon,720000afternoon5,2101,26740,0,90,0,41,0.9272557302125891
720000,10/30/2020,Friday,afternoon,720000afternoon13,2700,26170,0,89,0,70,0.9067035245335177
720000,10/30/2020,Friday,afternoon,720000afternoon7,1865,27010,0,92,0,75,0.9355785837651123
720000,10/30/2020,Friday,afternoon,720000afternoon14,1472,27430,0,94,0,102,0.9492483795338574
720000,10/30/2020,Friday,afternoon,720000afternoon1,2812,26100,0,89,0,112,0.9031146637265711
720000,10/30/2020,Friday,afternoon,720000afternoon12,3190,25740,0,87,0,130,0.8902271163110805
720000,10/30/2020,Friday,afternoon,720000afternoon8,2261,26670,0,90,0,131,0.9222008120569817
720000,10/30/2020,Friday,afternoon,720000afternoon6,2961,26030,0,88,0,191,0.8985333424713865
720000,10/30/2020,Friday,afternoon,720000afternoon9,2910,26090,0,88,0,200,0.9003424657534247
720000,10/30/2020,Friday,afternoon,720000afternoon10,2310,26700,0,90,0,210,0.9209445585215605
720000,10/30/2020,Friday,afternoon,720000afternoon16,3367,25650,0,87,0,217,0.8848258876650476
720000,10/30/2020,Friday,afternoon,720000afternoon4,2168,26870,0,92,0,238,0.9259461675092225
720000,10/30/2020,Friday,afternoon,720000afternoon2,3011,26050,0,89,0,261,0.8973125980492463
720000,10/30/2020,Friday,afternoon,720000afternoon11,2223,26860,0,91,0,283,0.924300211128516
720000,10/30/2020,Friday,afternoon,720000afternoon15,4358,24730,0,83,0,288,0.8516476034858388
748800,10/30/2020,Friday,evening,748800evening9,0,28850,0,98,0,50,1.0
748800,10/30/2020,Friday,evening,748800evening16,0,28860,0,98,0,60,1.0
748800,10/30/2020,Friday,evening,748800evening8,0,28870,0,98,0,70,1.0
748800,10/30/2020,Friday,evening,748800evening3,0,28870,0,98,0,70,1.0
748800,10/30/2020,Friday,evening,748800evening7,0,28880,0,98,0,80,1.0
748800,10/30/2020,Friday,evening,748800evening6,0,28890,0,98,0,90,1.0
748800,10/30/2020,Friday,evening,748800evening13,0,28920,0,98,0,120,1.0
748800,10/30/2020,Friday,evening,748800evening18,0,28920,0,98,0,120,1.0
748800,10/30/2020,Friday,evening,748800evening5,0,28950,0,97,0,150,1.0
748800,10/30/2020,Friday,evening,748800evening4,0,28960,0,98,0,160,1.0
748800,10/30/2020,Friday,evening,748800evening10,0,28960,0,98,0,160,1.0
748800,10/30/2020,Friday,evening,748800evening2,0,28990,0,99,0,190,1.0
748800,10/30/2020,Friday,evening,748800evening14,0,29010,0,99,0,210,1.0
748800,10/30/2020,Friday,evening,748800evening17,0,29050,0,98,0,250,1.0
748800,10/30/2020,Friday,evening,748800evening1,0,29060,0,98,0,260,1.0
748800,10/30/2020,Friday,evening,748800evening11,0,29060,0,99,0,260,1.0
748800,10/30/2020,Friday,evening,748800evening15,0,29060,0,98,0,260,1.0
748800,10/30/2020,Friday,evening,748800evening12,0,29060,0,98,0,260,1.0
777600,10/31/2020,Saturday,morning,777600morning3,0,28930,0,98,0,130,1.0
777600,10/31/2020,Saturday,morning,777600morning2,0,28960,0,98,0,160,1.0
777600,10/31/2020,Saturday,morning,777600morning1,0,29000,0,98,0,200,1.0
777600,10/31/2020,Saturday,morning,777600morning4,0,29080,0,98,0,280,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon14,0,28820,0,98,0,20,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon5,0,28860,0,98,0,60,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon15,0,28880,0,98,0,80,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon12,0,28890,0,98,0,90,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon4,0,28900,0,98,0,100,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon10,0,28900,0,97,0,100,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon17,0,28930,0,98,0,130,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon9,0,28940,0,98,0,140,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon2,0,28940,0,98,0,140,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon6,0,28940,0,98,0,140,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon16,0,28950,0,98,0,150,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon11,0,28990,0,98,0,190,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon7,0,29030,0,98,0,230,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon13,0,29030,0,98,0,230,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon8,0,29040,0,98,0,240,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon3,0,29050,0,99,0,250,1.0
806400,10/31/2020,Saturday,afternoon,806400afternoon1,0,29090,0,98,0,290,1.0
835200,10/31/2020,Saturday,evening,835200evening10,0,28830,0,98,0,30,1.0
835200,10/31/2020,Saturday,evening,835200evening4,0,28840,0,97,0,40,1.0
835200,10/31/2020,Saturday,evening,835200evening9,0,28850,0,98,0,50,1.0
835200,10/31/2020,Saturday,evening,835200evening6,0,28860,0,98,0,60,1.0
835200,10/31/2020,Saturday,evening,835200evening8,0,28870,0,98,0,70,1.0
835200,10/31/2020,Saturday,evening,835200evening19,0,28870,0,98,0,70,1.0
835200,10/31/2020,Saturday,evening,835200evening12,0,28900,0,98,0,100,1.0
835200,10/31/2020,Saturday,evening,835200evening17,0,28910,0,98,0,110,1.0
835200,10/31/2020,Saturday,evening,835200evening14,0,28910,0,98,0,110,1.0
835200,10/31/2020,Saturday,evening,835200evening13,0,28930,0,98,0,130,1.0
835200,10/31/2020,Saturday,evening,835200evening5,0,28940,0,98,0,140,1.0
835200,10/31/2020,Saturday,evening,835200evening15,0,28950,0,98,0,150,1.0
835200,10/31/2020,Saturday,evening,835200evening11,0,28950,0,98,0,150,1.0
835200,10/31/2020,Saturday,evening,835200evening7,0,28970,0,98,0,170,1.0
835200,10/31/2020,Saturday,evening,835200evening1,0,28990,0,98,0,190,1.0
835200,10/31/2020,Saturday,evening,835200evening18,0,29010,0,98,0,210,1.0
835200,10/31/2020,Saturday,evening,835200evening16,0,29010,0,99,0,210,1.0
